,Unnamed: 0,name,item,qid
134,363,gfycat.com,http://www.wikidata.org/entity/Q28134994,Q28134994
135,367,slack.com,http://www.wikidata.org/entity/Q17130715,Q17130715
136,369,deepl.com,http://www.wikidata.org/entity/Q43968444,Q43968444
137,375,kinopoisk.ru,http://www.wikidata.org/entity/Q2389071,Q2389071
138,377,samsung.com,http://www.wikidata.org/entity/Q484531,Q484531
139,379,khanacademy.org,http://www.wikidata.org/entity/Q94887,Q94887
140,389,hootsuite.com,http://www.wikidata.org/entity/Q2749075,Q2749075
141,393,nownews.com,http://www.wikidata.org/entity/Q10883984,Q10883984
142,395,coinmarketcap.com,http://www.wikidata.org/entity/Q56251056,Q56251056
143,397,wowhead.com,http://www.wikidata.org/entity/Q2075987,Q2075987
144,398,mos.ru,http://www.wikidata.org/entity/Q24934870,Q24934870
145,401,freelancer.com,http://www.wikidata.org/entity/Q5500950,Q5500950
146,413,infobae.com,http://www.wikidata.org/entity/Q5915760,Q5915760
147,420,duolingo.com,http://www.wikidata.org/entity/Q2918660,Q2918660
148,424,reuters.com,http://www.wikidata.org/entity/Q22343541,Q22343541
149,432,codepen.io,http://www.wikidata.org/entity/Q30594871,Q30594871
150,434,in.gr,http://www.wikidata.org/entity/Q4041325,Q4041325
151,446,sahibinden.com,http://www.wikidata.org/entity/Q7399617,Q7399617
152,451,douban.com,http://www.wikidata.org/entity/Q5299559,Q5299559
153,455,wayfair.com,http://www.wikidata.org/entity/Q3540193,Q3540193
154,459,namu.wiki,http://www.wikidata.org/entity/Q19832999,Q19832999
155,468,chess.com,http://www.wikidata.org/entity/Q16829376,Q16829376
156,479,americanas.com.br,http://www.wikidata.org/entity/Q9610507,Q9610507
157,480,udn.com,http://www.wikidata.org/entity/Q15905169,Q15905169
158,485,nhk.or.jp,http://www.wikidata.org/entity/Q11234996,Q11234996
159,488,patreon.com,http://www.wikidata.org/entity/Q15861362,Q15861362
160,490,wish.com,http://www.wikidata.org/entity/Q47796826,Q47796826
161,504,eksisozluk.com,http://www.wikidata.org/entity/Q5350642,Q5350642
162,505,buzzfeed.com,http://www.wikidata.org/entity/Q5003490,Q5003490
163,507,squarespace.com,http://www.wikidata.org/entity/Q7582097,Q7582097
164,509,wp.pl,http://www.wikidata.org/entity/Q380042,Q380042
165,513,ecosia.org,http://www.wikidata.org/entity/Q1282139,Q1282139
166,514,toutiao.com,http://www.wikidata.org/entity/Q24835387,Q24835387
167,516,sportbible.com,http://www.wikidata.org/entity/Q64578033,Q64578033
168,520,edx.org,http://www.wikidata.org/entity/Q2106448,Q2106448
169,526,issuu.com,http://www.wikidata.org/entity/Q1982075,Q1982075
170,536,playstation.com,http://www.wikidata.org/entity/Q6150799,Q6150799
171,541,emol.com,http://www.wikidata.org/entity/Q8771327,Q8771327
172,553,vnexpress.net,http://www.wikidata.org/entity/Q10832925,Q10832925
173,555,wattpad.com,http://www.wikidata.org/entity/Q7664857,Q7664857
174,556,giphy.com,http://www.wikidata.org/entity/Q17054335,Q17054335
175,558,hatenablog.com,http://www.wikidata.org/entity/Q24899730,Q24899730
176,565,rediff.com,http://www.wikidata.org/entity/Q140676,Q140676
177,566,rediff.com,http://www.wikidata.org/entity/Q140947,Q140947
178,572,npr.org,http://www.wikidata.org/entity/Q4915479,Q4915479
179,579,gismeteo.ru,http://www.wikidata.org/entity/Q52587130,Q52587130
180,586,turkiye.gov.tr,http://www.wikidata.org/entity/Q25478688,Q25478688
181,592,crunchyroll.com,http://www.wikidata.org/entity/Q1142035,Q1142035
182,593,mawdoo3.com,http://www.wikidata.org/entity/Q12241539,Q12241539
183,596,naukri.com,http://www.wikidata.org/entity/Q17012148,Q17012148
184,598,dictionary.com,http://www.wikidata.org/entity/Q16960686,Q16960686
185,600,figma.com,http://www.wikidata.org/entity/Q96186334,Q96186334
186,602,techradar.com,http://www.wikidata.org/entity/Q611515,Q611515
187,605,yelp.com,http://www.wikidata.org/entity/Q2299611,Q2299611
188,606,merriam-webster.com,http://www.wikidata.org/entity/Q52055551,Q52055551
189,607,seznam.cz,http://www.wikidata.org/entity/Q3490485,Q3490485
190,610,ultimate-guitar.com,http://www.wikidata.org/entity/Q2587057,Q2587057
191,612,coupang.com,http://www.wikidata.org/entity/Q12620655,Q12620655
192,615,airbnb.com,http://www.wikidata.org/entity/Q63327,Q63327
193,619,dcard.tw,http://www.wikidata.org/entity/Q22101169,Q22101169
194,623,rutracker.org,http://www.wikidata.org/entity/Q3786540,Q3786540
195,627,webmd.com,http://www.wikidata.org/entity/Q3536160,Q3536160
196,630,nexusmods.com,http://www.wikidata.org/entity/Q7021267,Q7021267
197,637,realtor.com,http://www.wikidata.org/entity/Q19866742,Q19866742
198,638,gsmarena.com,http://www.wikidata.org/entity/Q47141541,Q47141541
199,639,memurlar.net,http://www.wikidata.org/entity/Q20472157,Q20472157
200,640,souq.com,http://www.wikidata.org/entity/Q22688437,Q22688437
201,641,leboncoin.fr,http://www.wikidata.org/entity/Q3228701,Q3228701
202,659,europa.eu,http://www.wikidata.org/entity/Q5413465,Q5413465
203,660,europa.eu,http://www.wikidata.org/entity/Q2717314,Q2717314
204,663,pchome.com.tw,http://www.wikidata.org/entity/Q10852079,Q10852079
205,695,statista.com,http://www.wikidata.org/entity/Q2333891,Q2333891
206,707,viva.co.id,http://www.wikidata.org/entity/Q12523617,Q12523617
207,709,vidio.com,http://www.wikidata.org/entity/Q19744919,Q19744919
208,714,xe.com,http://www.wikidata.org/entity/Q8041760,Q8041760
209,716,nairaland.com,http://www.wikidata.org/entity/Q6959743,Q6959743
210,730,digitaltrends.com,http://www.wikidata.org/entity/Q5276019,Q5276019
